Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster358	Cluster	329125	4701875	42.45037793	12.92205548	92	75
VelinoCluster359	Cluster	380875	4642125	41.92209943	13.56336573	331	282
VelinoCluster360	Cluster	335375	4667875	42.14570598	13.0076875	228	100
VelinoCluster361	Cluster	349625	4692625	42.37136241	13.1736344	129	157
VelinoCluster362	Cluster	347125	4682875	42.28311094	13.14586619	168	147
VelinoCluster363	Cluster	382375	4662125	42.1024018	13.57744246	251	288
VelinoCluster364	Cluster	346125	4706625	42.49669396	13.12739812	73	143
VelinoCluster365	Cluster	316625	4703875	42.46552054	12.76951693	84	25
VelinoCluster366	Cluster	388375	4650625	41.99973135	13.65217773	297	312
VelinoCluster367	Cluster	345625	4715875	42.5798533	13.11881812	36	141
VelinoCluster368	Cluster	383375	4665375	42.13181325	13.58888374	238	292
VelinoCluster369	Cluster	332625	4671875	42.18112645	12.97327744	212	89
VelinoCluster370	Cluster	391125	4652875	42.020376	13.68495692	288	323
VelinoCluster371	Cluster	353375	4679625	42.25505508	13.22245515	181	172
VelinoCluster372	Cluster	347625	4719875	42.6162547	13.14210752	20	149
